rootid,store,categories,category_image,description,url_key,is_active,meta_title,url_path,is_anchor,meta_keywords,meta_description,display_mode
2,admin,Equipements de Nettoyage,,,equipements-de-nettoyage,1,,equipements-de-nettoyage.html,1,,,PRODUCTS
2,admin,Equipements de Nettoyage/Droguerie-Petit Matériel,droguerie-img.jpg,,droguerie-petit-materiel,1,,equipements-de-nettoyage/droguerie-petit-materiel.html,0,,,PRODUCTS
2,admin,Equipements de Nettoyage/Droguerie-Petit Matériel/Laine D'Acier,,,laine-d-acier,1,,equipements-de-nettoyage/droguerie-petit-materiel/laine-d-acier.html,0,,,PRODUCTS
2,admin,Equipements de Nettoyage/Droguerie-Petit Matériel/Abrasifs et Tampon Pad,,,abrasifs-et-tampon-pad,1,,equipements-de-nettoyage/droguerie-petit-materiel/abrasifs-et-tampon-pad.html,0,,,PRODUCTS
2,admin,Equipements de Nettoyage/Droguerie-Petit Matériel/Disques Abrasifs,,,,1,,,0,,,PRODUCTS
2,admin,Equipements de Nettoyage/Droguerie-Petit Matériel/Gamme D'arrosage,,,,1,,,0,,,PRODUCTS
2,admin,Equipements de Nettoyage/Droguerie-Petit Matériel/Tapis d'accueil,,,,1,,,0,,,PRODUCTS
2,admin,Equipements de Nettoyage/Droguerie-Petit Matériel/Eponges,,,,1,,,0,,,PRODUCTS
2,admin,Equipements de Nettoyage/Droguerie-Petit Matériel/Brosserie,,,,1,,,0,,,PRODUCTS
2,admin,Equipements de Nettoyage/Droguerie-Petit Matériel/Brosserie Alimentaire,,,,1,,,0,,,PRODUCTS
2,admin,Equipements de Nettoyage/Droguerie-Petit Matériel/Pulvérisateur-Doseurs,,,,1,,,0,,,PRODUCTS
2,admin,Equipements de Nettoyage/Droguerie-Petit Matériel/Ampoules-Matériels électriques,,,,1,,,0,,,PRODUCTS
2,admin,Equipements de Nettoyage/Matériel Sol,materiel-sol-img.jpg,,,1,,,0,,,PRODUCTS
2,admin,Equipements de Nettoyage/Matériel Sol/Serpillères-Gazes-Franges,,,,1,,,0,,,PRODUCTS
